epoch:0/20 	 train_acc:91.81700897216797 	 val_acc:90.46391296386719 	 train_loss:0.1810905933380127 	 val_loss:0.04518534988164902
epoch:1/20 	 train_acc:97.35824584960938 	 val_acc:98.06700897216797 	 train_loss:0.012439047917723656 	 val_loss:0.007595136296004057
epoch:2/20 	 train_acc:98.58247375488281 	 val_acc:97.68041229248047 	 train_loss:0.04716753587126732 	 val_loss:0.0025989876594394445
epoch:3/20 	 train_acc:99.2912368774414 	 val_acc:97.68041229248047 	 train_loss:0.12425675243139267 	 val_loss:0.0011440609814599156
epoch:4/20 	 train_acc:99.61339569091797 	 val_acc:97.55154418945312 	 train_loss:0.007612035144120455 	 val_loss:0.005443069618195295
epoch:5/20 	 train_acc:99.45231628417969 	 val_acc:96.26288604736328 	 train_loss:0.008370096795260906 	 val_loss:0.0009083598270080984
epoch:6/20 	 train_acc:99.35566711425781 	 val_acc:97.42267608642578 	 train_loss:0.0015957204159349203 	 val_loss:0.0019129246938973665
epoch:7/20 	 train_acc:99.54896545410156 	 val_acc:98.45360565185547 	 train_loss:0.17552150785923004 	 val_loss:0.0010123786050826311
epoch:8/20 	 train_acc:99.45231628417969 	 val_acc:97.42267608642578 	 train_loss:0.0005609288928098977 	 val_loss:0.0003196585748810321
epoch:9/20 	 train_acc:99.77448272705078 	 val_acc:98.58247375488281 	 train_loss:0.008231445215642452 	 val_loss:0.0004476089670788497
epoch:10/20 	 train_acc:99.77448272705078 	 val_acc:98.58247375488281 	 train_loss:0.00046218957868404686 	 val_loss:0.0011255093850195408
epoch:11/20 	 train_acc:99.90335083007812 	 val_acc:98.71133422851562 	 train_loss:0.0005594373214989901 	 val_loss:0.00023418813361786306
epoch:12/20 	 train_acc:99.80670166015625 	 val_acc:98.32473754882812 	 train_loss:0.00164687295909971 	 val_loss:0.0006935392739251256
epoch:13/20 	 train_acc:99.90335083007812 	 val_acc:97.68041229248047 	 train_loss:0.0049393973313272 	 val_loss:0.00024149921955540776
epoch:14/20 	 train_acc:99.93556213378906 	 val_acc:98.71133422851562 	 train_loss:0.0004637911624740809 	 val_loss:0.00033613902633078396
epoch:15/20 	 train_acc:99.90335083007812 	 val_acc:97.80927276611328 	 train_loss:0.0003181736101396382 	 val_loss:0.00018527421343605965
epoch:16/20 	 train_acc:99.96778106689453 	 val_acc:98.45360565185547 	 train_loss:0.0012095499550923705 	 val_loss:9.950875391950831e-05
epoch:17/20 	 train_acc:100.0 	 val_acc:98.71133422851562 	 train_loss:0.0006868494674563408 	 val_loss:0.00024164457863662392
epoch:18/20 	 train_acc:99.96778106689453 	 val_acc:98.71133422851562 	 train_loss:0.002093947259709239 	 val_loss:9.841143764788285e-05
epoch:19/20 	 train_acc:100.0 	 val_acc:98.58247375488281 	 train_loss:0.00036184547934681177 	 val_loss:0.00018241509678773582
epoch:0/20 	 train_acc:99.5876235961914 	 val_acc:99.58763122558594 	 train_loss:0.05933777987957001 	 val_loss:0.012158422730863094
